season,date,type,subtype,teams,n_teams,players,n_players,players_out,players_in,is_aggregation,text
2022-23,2022-10-08,signing,other_signing,LAL,1,figuelj01,1,0,0,False,The Los Angeles Lakers signed L.J. Figueroa.
2022-23,2022-10-08,signing,other_signing,PHI,1,mccluma01,1,0,0,False,The Philadelphia 76ers signed Mac McClung.
2022-23,2022-10-08,signing,other_signing,OKC,1,shackja01,1,0,0,False,The Oklahoma City Thunder signed Jaden Shackelford.
2022-23,2022-10-08,signing,other_signing,HOU,1,caulewi01,1,0,0,False,The Houston Rockets signed Willie Cauley-Stein.
2022-23,2022-10-08,signing,other_signing,ORL,1,scrubja01,1,0,0,False,The Orlando Magic signed Jay Scrubb.
2022-23,2022-10-08,signing,other_signing,LAL,1,harrish01,1,0,0,False,The Los Angeles Lakers signed Shaquille Harrison.
2022-23,2022-10-09,waiver,,MIA,1,daysda01,1,0,0,False,The Miami Heat waived Darius Days.
2022-23,2022-10-09,waiver,,ATL,1,silvach01,1,0,0,False,The Atlanta Hawks waived Chris Silva.
2022-23,2022-10-09,waiver,,ATL,1,etienty01,1,0,0,False,The Atlanta Hawks waived Tyson Etienne.
2022-23,2022-10-09,waiver,,ATL,1,ellisma01,1,0,0,False,The Atlanta Hawks waived Malik Ellison.
2022-23,2022-10-09,waiver,,ATL,1,brookar01,1,0,0,False,The Atlanta Hawks waived Armoni Brooks.
2022-23,2022-10-09,waiver,,PHI,1,queentr01,1,0,0,False,The Philadelphia 76ers waived Trevelin Queen.
2022-23,2022-10-09,waiver,,UTA,1,leesa01,1,0,0,False,The Utah Jazz waived Saben Lee.
2022-23,2022-10-09,signing,two_way,MIA,1,cainja01,1,0,0,False,The Miami Heat signed Jamal Cain to a two-way contract.
2022-23,2022-10-09,signing,other_signing,UTA,1,moreseda01,1,0,0,False,The Utah Jazz signed Darryl Morsell.
2022-23,2022-10-09,signing,other_signing,MIA,1,muldemy01,1,0,0,False,The Miami Heat signed Mychal Mulder.
2022-23,2022-10-10,signing,other_signing,SAS,1,brownch05,1,0,0,False,The San Antonio Spurs signed Chaundee Brown Jr..
2022-23,2022-10-10,signing,other_signing,OKC,1,gaddyab01,1,0,0,False,The Oklahoma City Thunder signed Abdul Gaddy.
2022-23,2022-10-10,signing,other_signing,LAL,1,hamilbr01,1,0,0,False,The Los Angeles Lakers signed Bryce Hamilton.
2022-23,2022-10-10,signing,other_signing,MEM,1,hurtma01,1,0,0,False,The Memphis Grizzlies signed Matthew Hurt.
2022-23,2022-10-10,signing,other_signing,ORL,1,jeffrdr01,1,0,0,False,The Orlando Magic signed Drake Jeffries.
2022-23,2022-10-10,signing,other_signing,NOP,1,martike03,1,0,0,False,The New Orleans Pelicans signed Kelan Martin.
2022-23,2022-10-10,signing,other_signing,PHI,1,mccawpa01,1,0,0,False,The Philadelphia 76ers signed Patrick McCaw.
2022-23,2022-10-10,waiver,,NOP,1,pettyjo01,1,0,0,False,The New Orleans Pelicans waived John Petty Jr..
2022-23,2022-10-10,waiver,,NOP,1,butlejo01,1,0,0,False,The New Orleans Pelicans waived John Butler.
